"source","target","group","joint_var"
18,28,1,"9 clés de jointure"
18,33,1,"9 clés de jointure"
18,20,1,"9 clés de jointure"
18,29,1,"9 clés de jointure"
18,25,1,"9 clés de jointure"
18,32,1,"9 clés de jointure"
18,19,1,"9 clés de jointure"
18,27,1,"9 clés de jointure"
18,21,1,"9 clés de jointure"
18,22,1,"9 clés de jointure"
18,26,1,"9 clés de jointure"
18,30,1,"9 clés de jointure"
18,23,1,"9 clés de jointure"
18,24,1,"9 clés de jointure"
18,31,1,"9 clés de jointure"
18,8,1,"9 clés de jointure"
8,9,1,"CLE_DCI_JNT"
8,10,1,"CLE_DCI_JNT"
8,13,1,"CLE_DCI_JNT"
8,17,1,"CLE_DCI_JNT"
8,15,1,"CLE_DCI_JNT"
8,14,1,"CLE_DCI_JNT"
8,11,1,"CLE_DCI_JNT"
8,12,1,"CLE_DCI_JNT"
8,16,1,"CLE_DCI_JNT"
0,18,1,"BEN_NIR_PSA||BEN_RNG_GEM"
0,2,1,"BEN_NIR_PSA||BEN_RNG_GEM"
0,7,1,"BEN_NIR_PSA||BEN_RNG_GEM"
0,4,1,"BEN_NIR_PSA||BEN_RNG_GEM"
0,6,1,"BEN_NIR_PSA||BEN_RNG_GEM"
0,3,1,"BEN_NIR_PSA||BEN_RNG_GEM"
0,5,1,"BEN_NIR_PSA||BEN_RNG_GEM"
1,0,1,"BEN_IDT_ANO"
1,8,1,"BEN_IDT_ANO"
1,9,1,"BEN_IDT_ANO"
1,10,1,"BEN_IDT_ANO"
1,13,1,"BEN_IDT_ANO"
1,17,1,"BEN_IDT_ANO"
1,15,1,"BEN_IDT_ANO"
1,14,1,"BEN_IDT_ANO"
1,11,1,"BEN_IDT_ANO"
1,12,1,"BEN_IDT_ANO"
1,16,1,"BEN_IDT_ANO"
1,7,1,"BEN_IDT_ANO"
1,4,1,"BEN_IDT_ANO"
1,6,1,"BEN_IDT_ANO"
1,3,1,"BEN_IDT_ANO"
1,5,1,"BEN_IDT_ANO"
1,35,1,"BEN_IDT_ANO"
1,36,1,"BEN_IDT_ANO"
34,18,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,8,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,9,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,10,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,13,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,17,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,15,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,14,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,11,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,12,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
34,16,1,"PFS_EXE_NUM / PFS_PRE_NUM / PRS_MTT_NUM = PFS_PFS_NUM"
2,18,1,"BEN_NIR_PSA||BEN_RNG_GEM"
2,0,1,"BEN_NIR_PSA||BEN_RNG_GEM"
2,7,1,"BEN_NIR_PSA||BEN_RNG_GEM"
2,4,1,"BEN_NIR_PSA||BEN_RNG_GEM"
2,6,1,"BEN_NIR_PSA||BEN_RNG_GEM"
2,3,1,"BEN_NIR_PSA||BEN_RNG_GEM"
2,5,1,"BEN_NIR_PSA||BEN_RNG_GEM"
7,18,1,"BEN_NIR_PSA||BEN_RNG_GEM"
7,0,1,"BEN_NIR_PSA||BEN_RNG_GEM"
7,2,1,"BEN_NIR_PSA||BEN_RNG_GEM"
7,4,1,"BEN_NIR_PSA||BEN_RNG_GEM"
7,6,1,"BEN_NIR_PSA||BEN_RNG_GEM"
7,3,1,"BEN_NIR_PSA||BEN_RNG_GEM"
7,5,1,"BEN_NIR_PSA||BEN_RNG_GEM"
4,18,1,"BEN_NIR_PSA||BEN_RNG_GEM"
4,0,1,"BEN_NIR_PSA||BEN_RNG_GEM"
4,2,1,"BEN_NIR_PSA||BEN_RNG_GEM"
4,7,1,"BEN_NIR_PSA||BEN_RNG_GEM"
4,6,1,"BEN_NIR_PSA||BEN_RNG_GEM"
4,3,1,"BEN_NIR_PSA||BEN_RNG_GEM"
4,5,1,"BEN_NIR_PSA||BEN_RNG_GEM"
6,18,1,"BEN_NIR_PSA||BEN_RNG_GEM"
6,0,1,"BEN_NIR_PSA||BEN_RNG_GEM"
6,2,1,"BEN_NIR_PSA||BEN_RNG_GEM"
6,7,1,"BEN_NIR_PSA||BEN_RNG_GEM"
6,4,1,"BEN_NIR_PSA||BEN_RNG_GEM"
6,3,1,"BEN_NIR_PSA||BEN_RNG_GEM"
6,5,1,"BEN_NIR_PSA||BEN_RNG_GEM"
3,18,1,"BEN_NIR_PSA||BEN_RNG_GEM"
3,0,1,"BEN_NIR_PSA||BEN_RNG_GEM"
3,2,1,"BEN_NIR_PSA||BEN_RNG_GEM"
3,7,1,"BEN_NIR_PSA||BEN_RNG_GEM"
3,4,1,"BEN_NIR_PSA||BEN_RNG_GEM"
3,6,1,"BEN_NIR_PSA||BEN_RNG_GEM"
3,5,1,"BEN_NIR_PSA||BEN_RNG_GEM"
5,18,1,"BEN_NIR_PSA||BEN_RNG_GEM"
5,0,1,"BEN_NIR_PSA||BEN_RNG_GEM"
5,2,1,"BEN_NIR_PSA||BEN_RNG_GEM"
5,7,1,"BEN_NIR_PSA||BEN_RNG_GEM"
5,4,1,"BEN_NIR_PSA||BEN_RNG_GEM"
5,6,1,"BEN_NIR_PSA||BEN_RNG_GEM"
5,3,1,"BEN_NIR_PSA||BEN_RNG_GEM"
35,0,1,"BEN_IDT_ANO"
35,8,1,"BEN_IDT_ANO"
35,9,1,"BEN_IDT_ANO"
35,10,1,"BEN_IDT_ANO"
35,13,1,"BEN_IDT_ANO"
35,17,1,"BEN_IDT_ANO"
35,15,1,"BEN_IDT_ANO"
35,14,1,"BEN_IDT_ANO"
35,11,1,"BEN_IDT_ANO"
35,12,1,"BEN_IDT_ANO"
35,16,1,"BEN_IDT_ANO"
35,7,1,"BEN_IDT_ANO"
35,4,1,"BEN_IDT_ANO"
35,6,1,"BEN_IDT_ANO"
35,3,1,"BEN_IDT_ANO"
35,5,1,"BEN_IDT_ANO"
35,36,1,"BEN_IDT_ANO"
36,0,1,"BEN_IDT_ANO"
36,8,1,"BEN_IDT_ANO"
36,9,1,"BEN_IDT_ANO"
36,10,1,"BEN_IDT_ANO"
36,13,1,"BEN_IDT_ANO"
36,17,1,"BEN_IDT_ANO"
36,15,1,"BEN_IDT_ANO"
36,14,1,"BEN_IDT_ANO"
36,11,1,"BEN_IDT_ANO"
36,12,1,"BEN_IDT_ANO"
36,16,1,"BEN_IDT_ANO"
36,7,1,"BEN_IDT_ANO"
36,4,1,"BEN_IDT_ANO"
36,6,1,"BEN_IDT_ANO"
36,3,1,"BEN_IDT_ANO"
36,5,1,"BEN_IDT_ANO"
36,35,1,"BEN_IDT_ANO"
37,18,1,"BEN_NIR_PSA||BEN_RNG_GEM"
37,0,1,"BEN_NIR_PSA||BEN_RNG_GEM"
37,2,1,"BEN_NIR_PSA||BEN_RNG_GEM"
37,7,1,"BEN_NIR_PSA||BEN_RNG_GEM"
37,4,1,"BEN_NIR_PSA||BEN_RNG_GEM"
37,6,1,"BEN_NIR_PSA||BEN_RNG_GEM"
37,3,1,"BEN_NIR_PSA||BEN_RNG_GEM"
37,5,1,"BEN_NIR_PSA||BEN_RNG_GEM"
38,37,1,"id_carto"
38,39,1,"id_carto"
39,37,1,"id_carto"
39,38,1,"id_carto"
42,18,1,"NIR_ANO_17 = BEN_NIR_PSA"
42,0,1,"NIR_ANO_17 = BEN_NIR_PSA"
42,40,1,"ETA_NUM||RSA_NUM"
42,41,1,"ETA_NUM||RSA_NUM"
42,42,1,"ETA_NUM||RSA_NUM"
42,43,1,"ETA_NUM||RSA_NUM"
42,44,1,"ETA_NUM||RSA_NUM"
42,45,1,"ETA_NUM||RSA_NUM"
42,46,1,"ETA_NUM||RSA_NUM"
42,47,1,"ETA_NUM||RSA_NUM"
42,48,1,"ETA_NUM||RSA_NUM"
42,49,1,"ETA_NUM||RSA_NUM"
42,50,1,"ETA_NUM||RSA_NUM"
42,51,1,"ETA_NUM||RSA_NUM"
42,52,1,"ETA_NUM||RSA_NUM"
42,53,1,"ETA_NUM||RSA_NUM"
42,54,1,"ETA_NUM||RSA_NUM"
42,55,1,"ETA_NUM||RSA_NUM"
42,56,1,"ETA_NUM||RSA_NUM"
42,57,1,"ETA_NUM||RSA_NUM"
42,58,1,"ETA_NUM||RSA_NUM"
42,59,1,"ETA_NUM||RSA_NUM"
42,60,1,"ETA_NUM||RSA_NUM"
42,61,1,"ETA_NUM||RSA_NUM"
42,62,1,"ETA_NUM||RSA_NUM"
42,63,1,"ETA_NUM||RSA_NUM"
42,64,1,"ETA_NUM||RSA_NUM"
42,65,1,"ETA_NUM||RSA_NUM"
42,66,1,"ETA_NUM||RSA_NUM"
42,67,1,"ETA_NUM||RSA_NUM"
42,68,1,"ETA_NUM||RSA_NUM"
42,69,1,"ETA_NUM||RSA_NUM"
42,70,1,"ETA_NUM||RSA_NUM"
42,71,1,"ETA_NUM||RSA_NUM"
42,72,1,"ETA_NUM||RSA_NUM"
42,73,1,"ETA_NUM||RSA_NUM"
42,74,1,"ETA_NUM||RSA_NUM"
42,75,1,"ETA_NUM||RSA_NUM"
100,18,1,"NIR_ANO_17 = BEN_NIR_PSA"
100,0,1,"NIR_ANO_17 = BEN_NIR_PSA"
100,99,1,"ETA_NUM||RSA_NUM"
100,100,1,"ETA_NUM||RSA_NUM"
100,101,1,"ETA_NUM||RSA_NUM"
100,102,1,"ETA_NUM||RSA_NUM"
100,103,1,"ETA_NUM||RSA_NUM"
100,104,1,"ETA_NUM||RSA_NUM"
100,105,1,"ETA_NUM||RSA_NUM"
100,106,1,"ETA_NUM||RSA_NUM"
100,107,1,"ETA_NUM||RSA_NUM"
100,108,1,"ETA_NUM||RSA_NUM"
100,109,1,"ETA_NUM||RSA_NUM"
100,110,1,"ETA_NUM||RSA_NUM"
100,111,1,"ETA_NUM||RSA_NUM"
100,112,1,"ETA_NUM||RSA_NUM"
100,113,1,"ETA_NUM||RSA_NUM"
100,114,1,"ETA_NUM||RSA_NUM"
100,115,1,"ETA_NUM||RSA_NUM"
100,116,1,"ETA_NUM||RSA_NUM"
100,117,1,"ETA_NUM||RSA_NUM"
100,118,1,"ETA_NUM||RSA_NUM"
100,119,1,"ETA_NUM||RSA_NUM"
100,120,1,"ETA_NUM||RSA_NUM"
100,121,1,"ETA_NUM||RSA_NUM"
100,122,1,"ETA_NUM||RSA_NUM"
100,123,1,"ETA_NUM||RSA_NUM"
100,124,1,"ETA_NUM||RSA_NUM"
78,18,1,"NIR_ANO_17 = BEN_NIR_PSA"
78,0,1,"NIR_ANO_17 = BEN_NIR_PSA"
78,76,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,77,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,78,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,79,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,80,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,81,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,82,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,83,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,84,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,85,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,86,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,87,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,88,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,89,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,90,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,91,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,92,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,93,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,94,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,95,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,96,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,97,1,"ETA_NUM_EPMSI||RHAD_NUM"
78,98,1,"ETA_NUM_EPMSI||RHAD_NUM"
130,18,1,"NIR_ANO_17 = BEN_NIR_PSA"
130,0,1,"NIR_ANO_17 = BEN_NIR_PSA"
130,125,1,"ETA_NUM_EPMSI||RIP_NUM"
130,126,1,"ETA_NUM_EPMSI||RIP_NUM"
130,127,1,"ETA_NUM_EPMSI||RIP_NUM"
130,128,1,"ETA_NUM_EPMSI||RIP_NUM"
130,129,1,"ETA_NUM_EPMSI||RIP_NUM"
130,130,1,"ETA_NUM_EPMSI||RIP_NUM"
130,131,1,"ETA_NUM_EPMSI||RIP_NUM"
130,132,1,"ETA_NUM_EPMSI||RIP_NUM"
130,133,1,"ETA_NUM_EPMSI||RIP_NUM"
130,134,1,"ETA_NUM_EPMSI||RIP_NUM"
130,135,1,"ETA_NUM_EPMSI||RIP_NUM"
130,136,1,"ETA_NUM_EPMSI||RIP_NUM"
130,137,1,"ETA_NUM_EPMSI||RIP_NUM"
130,138,1,"ETA_NUM_EPMSI||RIP_NUM"
130,139,1,"ETA_NUM_EPMSI||RIP_NUM"
130,140,1,"ETA_NUM_EPMSI||RIP_NUM"
130,141,1,"ETA_NUM_EPMSI||RIP_NUM"
130,142,1,"ETA_NUM_EPMSI||RIP_NUM"
